id	title	description	availability	condition	price	link	image_link	quantity_to_sell_on_facebook	brand	isv	net_price
A7851	"Tinta hp 20 c6614d negro"	"Tinta hp 20 c6614d negro"	"in stock"	new	521.00	https://acosa.com.hn/product/tinta-hp-20-c6614d-negro	https://acosa.com.hn/wp-content/uploads/2021/03/C6614D.webp	33	HP	1.15	453.04
A7852	"Tinta hp 15 c6615dl negro"	"Tinta hp 15 c6615dl negro"	"in stock"	new	606.00	https://acosa.com.hn/product/tinta-hp-15-c6615dl-negro	https://acosa.com.hn/wp-content/uploads/2021/03/C6615DL.webp	78	HP	1.15	526.96
A10322	"Tinta hp 02 c8774 cyan claroro dj c6280/7180/3110/3210/3310/8250"	"Tinta hp 02 c8774 cyan claroro dj c6280/7180/3110/3210/3310/8250"	"in stock"	new	195.99	https://acosa.com.hn/product/tinta-hp-02-c8774-cyan-claroro-dj-c6280-7180-3110-3210-3310-8250	https://acosa.com.hn/wp-content/uploads/2022/11/C8774WL.jpg	29	HP	1.15	170.43
A12152	"Tinta hp 88xl c9392 magenta k550"	"Tinta hp 88xl c9392 magenta k550"	"in stock"	new	973.30	https://acosa.com.hn/product/tinta-hp-88xl-c9392-magenta-k550	https://acosa.com.hn/wp-content/uploads/2021/03/C9392AL.webp	3	HP	1.15	846.35
A10065	"Toner hp q7553a  negro"	"Toner hp q7553a  negro"	"in stock"	new	4163.00	https://acosa.com.hn/product/toner-hp-q7553a-negro	https://acosa.com.hn/wp-content/uploads/2022/11/Q7553A.jpg	62	HP	1.15	3620
A44415	"Tinta hp 664 negro"	"Tinta hp 664 negro"	"in stock"	new	445.00	https://acosa.com.hn/product/tinta-hp-664-negro	https://acosa.com.hn/wp-content/uploads/2021/03/F6V29AL.webp	26	HP	1.15	386.96
A44416	"Tinta hp 664 tricolor"	"Tinta hp 664 tricolor"	"in stock"	new	445.00	https://acosa.com.hn/product/tinta-hp-664-tricolor	https://acosa.com.hn/wp-content/uploads/2021/03/F6V28AL.webp	71	HP	1.15	386.96
A7863	"Tinta hp 22 c9352 color"	"Tinta hp 22 c9352 color"	"in stock"	new	787.00	https://acosa.com.hn/product/tinta-hp-22-c9352-color	https://acosa.com.hn/wp-content/uploads/2021/03/C9352AL.webp	154	HP	1.15	684.35
A7865	"Tinta hp 93 c9361wl color 5440/7850/1510"	"Tinta hp 93 c9361wl color 5440/7850/1510"	"in stock"	new	414.00	https://acosa.com.hn/product/tinta-hp-93-c9361wl-color-5440-7850-1510	https://acosa.com.hn/wp-content/uploads/2021/03/C9361WL.webp	9	HP	1.15	360
A43755	"Tinta hp 664xl negro"	"Tinta hp 664xl negro"	"in stock"	new	1295.00	https://acosa.com.hn/product/tinta-hp-664xl-negro	https://acosa.com.hn/wp-content/uploads/2021/03/F6V31AL.webp	45	HP	1.15	1126.09
A43756	"Tinta hp 664xl tricolor"	"Tinta hp 664xl tricolor"	"in stock"	new	825.00	https://acosa.com.hn/product/tinta-hp-664xl-tricolor	https://acosa.com.hn/wp-content/uploads/2021/03/F6V30AL.webp	21	HP	1.15	717.39
A20470	"Toner hp ce285a negro"	"Toner hp ce285a negro"	"in stock"	new	3056.00	https://acosa.com.hn/product/toner-hp-ce285a-negro	https://acosa.com.hn/wp-content/uploads/2022/11/CE285A.jpg	147	HP	1.15	2657.39
A24223	"Toner hp ce310a 126a negro"	"Toner hp ce310a 126a negro"	"in stock"	new	1432.00	https://acosa.com.hn/product/toner-hp-ce310a-126a-negro	https://acosa.com.hn/wp-content/uploads/2022/11/CE310A.jpg	3	HP	1.15	1245.22
A24224	"Toner hp ce311a cyan"	"Toner hp ce311a cyan"	"in stock"	new	1590.00	https://acosa.com.hn/product/toner-hp-ce311a-cyan	https://acosa.com.hn/wp-content/uploads/2022/11/CE311A.jpg	9	HP	1.15	1382.61
